"year" "mean"
"1" 1970 11.6631979695431
"2" 1971 12.0261613691932
"3" 1972 12.6714953271028
"4" 1973 12.7981443298969
"5" 1974 12.9583673469388
"6" 1975 12.8970772442589
"7" 1976 13.2187919463087
"8" 1977 13.1043243243243
"9" 1978 13.3701834862385
"10" 1979 13.1317829457364
"11" 1980 13.1881690140845
"12" 1981 13.7670951156812
"13" 1982 12.6917989417989
"14" 1983 13.2225531914894
"15" 1984 12.7692708333333
"16" 1985 12.7420353982301
"17" 1986 12.3578341013825
"18" 1987 13.0930715935335
"19" 1988 13.7445652173913
"20" 1989 13.2810379241517
"21" 1990 13.4761904761905
"22" 1991 12.9293969849246
"23" 1992 13.1613545816733
"24" 1993 13.3812967581047
"25" 1994 14.7109137055838
"26" 1995 13.1517964071856
"27" 1996 14.1498666666667
"28" 1997 12.6921296296296
"29" 1998 13.5173745173745
"30" 1999 13.2786206896552
"31" 2000 13.9651898734177
"32" 2001 13.9809210526316
"33" 2002 14.1124304267161
"34" 2003 13.6657317073171
"35" 2004 14.0539456662354
"36" 2005 14.4038413878563
"37" 2006 14.3638539042821
"38" 2007 14.5525179856115
"39" 2008 13.5549427679501
"40" 2009 13.5750281214848
"41" 2010 14.1545454545455
"42" 2011 13.1537822111388
"43" 2012 13.2194092827004
"44" 2013 12.6639293937068
"45" 2014 12.6226145755071
"46" 2015 12.3885758998435
"47" 2016 12.6960682492582
"48" 2017 12.4189189189189
"49" 2018 12.2411673151751
