"min_temperature" "city_name" "mean"
"1" -8.7 "Canberra" 0
"2" -8.2 "Canberra" 0
"3" -8 "Canberra" 0
"4" -7.6 "Canberra" 0.2
"5" -7.5 "Canberra" 0
"6" -7.4 "Canberra" 0
"7" -7.3 "Canberra" 0
"8" -7.1 "Canberra" 0
"9" -7 "Canberra" 0
"10" -6.9 "Canberra" 0
"11" -6.8 "Canberra" 0.2
"12" -6.7 "Canberra" 0
"13" -6.5 "Canberra" 0
"14" -6.4 "Canberra" 0
"15" -6.3 "Canberra" 0
"16" -6.2 "Canberra" 0
"17" -6.1 "Canberra" 0.133333333333333
"18" -6 "Canberra" 0
"19" -5.8 "Canberra" 0.1
"20" -5.7 "Canberra" 0
"21" -5.6 "Canberra" 0.0666666666666667
"22" -5.5 "Canberra" 0.0571428571428571
"23" -5.3 "Canberra" 0
"24" -5.2 "Canberra" 0.1
"25" -5.1 "Canberra" 0.05
"26" -5 "Canberra" 0.04
"27" -4.9 "Canberra" 0.05
"28" -4.8 "Canberra" 0
"29" -4.7 "Canberra" 0.0153846153846154
"30" -4.6 "Canberra" 1.26666666666667
"31" -4.5 "Canberra" 0.0444444444444444
"32" -4.4 "Canberra" 0.08
"33" -4.3 "Canberra" 0.142857142857143
"34" -4.2 "Canberra" 0
"35" -4.1 "Canberra" 0.0285714285714286
"36" -4 "Canberra" 0.6
"37" -3.9 "Canberra" 0.0285714285714286
"38" -3.8 "Canberra" 0.145454545454545
"39" -3.7 "Canberra" 0.0571428571428571
"40" -3.6 "Canberra" 0
"41" -3.5 "Canberra" 0.0285714285714286
"42" -3.4 "Canberra" 0.0333333333333333
"43" -3.3 "Canberra" 0.0333333333333333
"44" -3.2 "Canberra" 0.075
"45" -3.1 "Canberra" 0.175
"46" -3 "Canberra" 0.127272727272727
"47" -2.9 "Canberra" 0.12
"48" -2.8 "Canberra" 0.05
"49" -2.7 "Canberra" 0.15
"50" -2.6 "Canberra" 0.1
"51" -2.5 "Canberra" 0.0833333333333333
"52" -2.4 "Canberra" 0.507692307692308
"53" -2.3 "Canberra" 0.288888888888889
"54" -2.2 "Canberra" 0.0666666666666667
"55" -2.1 "Canberra" 0.0333333333333333
"56" -2 "Canberra" 0.0363636363636364
"57" -1.9 "Canberra" 0.8
"58" -1.9 "Perth" 2.8
"59" -1.8 "Canberra" 0.0923076923076923
"60" -1.7 "Canberra" 0.0571428571428571
"61" -1.6 "Canberra" 0.0333333333333333
"62" -1.5 "Canberra" 0.0666666666666667
"63" -1.4 "Canberra" 0.25
"64" -1.3 "Canberra" 0.771428571428571
"65" -1.2 "Canberra" 0
"66" -1.1 "Canberra" 0.11
"67" -1.1 "Perth" 0.2
"68" -1 "Canberra" 0.175
"69" -0.9 "Canberra" 0.775
"70" -0.8 "Canberra" 0.885714285714286
"71" -0.7 "Canberra" 1.34
"72" -0.6 "Canberra" 0.742857142857143
