"year" "mean"
"1" 1970 2.60392694063927
"2" 1971 2.45489478499543
"3" 1972 2.55709923664122
"4" 1973 3.06359803232607
"5" 1974 3.44729542302358
"6" 1975 2.54089635854342
"7" 1976 2.8738978306508
"8" 1977 1.83062068965517
"9" 1978 2.88347222222222
"10" 1979 1.99742857142857
"11" 1980 2.24537755822159
"12" 1981 2.64408901251739
"13" 1982 2.26147941381717
"14" 1983 2.89117854622442
"15" 1984 2.70238931834153
"16" 1985 2.62677674084709
"17" 1986 2.35266146202981
"18" 1987 2.51704067321178
"19" 1988 3.46737288135593
"20" 1989 2.83827683615819
"21" 1990 3.18840169731259
"22" 1991 2.21649048625793
"23" 1992 3.02194777699365
"24" 1993 1.99153726708075
"25" 1994 2.39924242424242
"26" 1995 2.74123287671233
"27" 1996 2.7422131147541
"28" 1997 2.34181568088033
"29" 1998 3.2
"30" 1999 2.6770964833183
"31" 2000 1.96678248783878
"32" 2001 2.69837625979843
"33" 2002 1.81334804191947
"34" 2003 2.28691330756488
"35" 2004 2.47429205996669
"36" 2005 2.03136490250696
"37" 2006 1.87770308123249
"38" 2007 2.2259009009009
"39" 2008 2.91896447922938
"40" 2009 2.32995270625328
"41" 2010 3.4975622681505
"42" 2011 3.01178969729156
"43" 2012 2.81579514824798
"44" 2013 2.84152859433458
"45" 2014 1.99801740812379
"46" 2015 2.75898666666667
"47" 2016 2.40865224625624
"48" 2017 2.16722408026756
"49" 2018 2.02185246810871
