"year" "mean"
"1" 1970 19.3758883248731
"2" 1971 19.4586797066015
"3" 1972 20.3401869158879
"4" 1973 20.259381443299
"5" 1974 20.1875510204082
"6" 1975 20.4031315240084
"7" 1976 20.7548098434004
"8" 1977 20.3583783783784
"9" 1978 20.3268348623853
"10" 1979 20.7700258397933
"11" 1980 20.8574647887324
"12" 1981 20.806940874036
"13" 1982 20.5574074074074
"14" 1983 20.2404255319149
"15" 1984 20.3080729166667
"16" 1985 20.2232300884956
"17" 1986 19.8170506912442
"18" 1987 20.2995381062356
"19" 1988 20.8734782608696
"20" 1989 20.5616766467066
"21" 1990 20.4378787878788
"22" 1991 20.1809045226131
"23" 1992 20.4205179282869
"24" 1993 20.9531172069825
"25" 1994 23.3672588832487
"26" 1995 23.1826347305389
"27" 1996 23.3530666666667
"28" 1997 20.7300925925926
"29" 1998 21.0548262548263
"30" 1999 20.7202298850575
"31" 2000 21.6704641350211
"32" 2001 22.0578947368421
"33" 2002 22.1274582560297
"34" 2003 22.3382926829268
"35" 2004 23.1535575679172
"36" 2005 23.2026022304833
"37" 2006 23.1596977329975
"38" 2007 22.9623501199041
"39" 2008 22.5955254942768
"40" 2009 22.4906636670416
"41" 2010 22.3414141414141
"42" 2011 22.1021612635079
"43" 2012 22.2923206751055
"44" 2013 22.551189562548
"45" 2014 22.8746055597295
"46" 2015 22.5643192488263
"47" 2016 22.6235163204748
"48" 2017 22.8764478764479
"49" 2018 22.8182879377432
