"max_temperature" "city_name" "mean"
"1" 6.5 "Melbourne" 0.3
"2" 7 "Canberra" 0.1
"3" 7.1 "Canberra" 4.8
"4" 7.3 "Canberra" 0
"5" 7.7 "Canberra" 12
"6" 7.8 "Canberra" 0
"7" 7.9 "Canberra" 0
"8" 8 "Canberra" 1.73333333333333
"9" 8.1 "Melbourne" 10
"10" 8.2 "Canberra" 0.6
"11" 8.2 "Melbourne" 0.4
"12" 8.4 "Canberra" 1
"13" 8.5 "Canberra" 5
"14" 8.6 "Canberra" 23.6
"15" 8.6 "Melbourne" 0.6
"16" 8.7 "Canberra" 8.33333333333333
"17" 8.7 "Melbourne" 1.3
"18" 8.8 "Canberra" 8.6
"19" 8.8 "Melbourne" 4.9
"20" 8.9 "Canberra" 0.8
"21" 8.9 "Melbourne" 12
"22" 9 "Canberra" 1.7
"23" 9 "Melbourne" 11.8
"24" 9.1 "Canberra" 1.7
"25" 9.1 "Melbourne" 0.8
"26" 9.2 "Canberra" 7.86666666666667
"27" 9.3 "Canberra" 0.733333333333333
"28" 9.3 "Melbourne" 2.4
"29" 9.4 "Canberra" 0.1
"30" 9.4 "Melbourne" 4.93333333333333
"31" 9.5 "Canberra" 24.8
"32" 9.5 "Melbourne" 4.6
"33" 9.6 "Canberra" 1.66666666666667
"34" 9.6 "Melbourne" 5.2
"35" 9.7 "Canberra" 5.1
"36" 9.7 "Melbourne" 6.38
"37" 9.8 "Canberra" 16.2
"38" 9.8 "Melbourne" 3.88
"39" 9.9 "Canberra" 1.95
"40" 9.9 "Melbourne" 7.22857142857143
"41" 10 "Canberra" 1.69090909090909
"42" 10 "Melbourne" 4.125
"43" 10.1 "Canberra" 1.85
"44" 10.1 "Melbourne" 4.6
"45" 10.2 "Canberra" 1.92
"46" 10.2 "Melbourne" 5.12
"47" 10.3 "Canberra" 0.9
"48" 10.3 "Melbourne" 7.5
"49" 10.4 "Canberra" 4.8
"50" 10.4 "Melbourne" 4.9875
"51" 10.5 "Canberra" 3.11111111111111
"52" 10.5 "Melbourne" 7.975
"53" 10.6 "Canberra" 1.08
"54" 10.6 "Melbourne" 3.97826086956522
"55" 10.7 "Canberra" 3.56666666666667
"56" 10.7 "Melbourne" 9.81
"57" 10.8 "Canberra" 2.89333333333333
"58" 10.8 "Melbourne" 3.65714285714286
"59" 10.9 "Canberra" 1.85714285714286
"60" 10.9 "Melbourne" 8.675
"61" 10.9 "Sydney" 0
"62" 11 "Canberra" 0.28
"63" 11 "Melbourne" 6.125
"64" 11.1 "Canberra" 2.2
"65" 11.1 "Melbourne" 5.70666666666667
"66" 11.1 "Sydney" 1.8
"67" 11.2 "Canberra" 2.15
"68" 11.2 "Melbourne" 4.5125
"69" 11.2 "Perth" 17
"70" 11.3 "Canberra" 3.5
"71" 11.3 "Melbourne" 2.72
"72" 11.4 "Canberra" 3.85714285714286
"73" 11.4 "Melbourne" 3.76190476190476
"74" 11.5 "Canberra" 1.11764705882353
"75" 11.5 "Melbourne" 4.77777777777778
"76" 11.6 "Canberra" 0.866666666666667
"77" 11.6 "Melbourne" 4.196
"78" 11.7 "Canberra" 2.4
"79" 11.7 "Melbourne" 4.69473684210526
"80" 11.7 "Perth" 8.3
"81" 11.7 "Sydney" 0
"82" 11.8 "Brisbane" 9
"83" 11.8 "Canberra" 1.48888888888889
"84" 11.8 "Melbourne" 4.77931034482759
